Using downloaded and verified file: ./data/svhn/train_32x32.mat
Using downloaded and verified file: ./data/svhn/test_32x32.mat
Taskcla:  [(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
Number of clients each task:  [10, 10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 33.6s | Valid: time=  6.9s loss=2.792, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 27.9s | Valid: time=  6.6s loss=0.209, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 26.9s | Valid: time=  6.7s loss=0.085, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 26.8s | Valid: time=  6.3s loss=0.086, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 27.1s | Valid: time=  6.4s loss=0.162, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 27.3s | Valid: time=  6.4s loss=0.550, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 26.5s | Valid: time=  6.6s loss=0.061, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 27.0s | Valid: time=  6.4s loss=0.153, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 27.5s | Valid: time=  6.4s loss=0.055, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 27.1s | Valid: time=  6.7s loss=0.072, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 26.8s | Valid: time=  6.4s loss=0.058, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 27.1s | Valid: time=  6.3s loss=0.066, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 27.6s | Valid: time=  6.3s loss=6.176, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 27.3s | Valid: time=  7.2s loss=0.064, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 27.3s | Valid: time=  6.2s loss=0.055, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 26.2s | Valid: time=  6.2s loss=0.071, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 26.3s | Valid: time=  6.1s loss=0.215, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 25.5s | Valid: time=  6.1s loss=0.071, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 26.2s | Valid: time=  6.3s loss=0.070, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 25.3s | Valid: time=  5.9s loss=0.059, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 25.2s | Valid: time=  6.2s loss=0.058, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 25.8s | Valid: time=  5.9s loss=0.070, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 26.0s | Valid: time=  5.9s loss=0.077, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 25.5s | Valid: time=  5.9s loss=0.067, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 26.0s | Valid: time=  6.2s loss=2.141, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 25.3s | Valid: time=  5.9s loss=0.060, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 25.2s | Valid: time=  5.8s loss=0.062, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 25.9s | Valid: time=  5.9s loss=0.071, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 26.1s | Valid: time=  6.1s loss=0.070, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 25.2s | Valid: time=  5.8s loss=0.070, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 25.7s | Valid: time=  5.8s loss=0.068, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 25.9s | Valid: time=  5.9s loss=0.069, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 26.2s | Valid: time=  6.5s loss=0.075, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 26.1s | Valid: time=  6.3s loss=0.063, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 25.7s | Valid: time=  6.1s loss=0.065, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 25.8s | Valid: time=  6.4s loss=0.077, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 25.7s | Valid: time=  6.1s loss=0.057, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 26.3s | Valid: time=  6.5s loss=0.059, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 26.2s | Valid: time=  6.4s loss=0.068, TAw acc=  0.0% |
 Epoch: 40 | Train: time= 25.9s | Valid: time=  6.2s loss=0.063, TAw acc=  0.0% |
 Epoch: 41 | Train: time= 26.0s | Valid: time=  6.2s loss=0.066, TAw acc=  0.0% |
 Epoch: 42 | Train: time= 26.2s | Valid: time=  6.2s loss=0.065, TAw acc=  0.0% |
 Epoch: 43 | Train: time= 26.3s | Valid: time=  6.4s loss=0.057, TAw acc=  0.0% |
 Epoch: 44 | Train: time= 25.4s | Valid: time=  6.4s loss=0.065, TAw acc=  0.0% |
 Epoch: 45 | Train: time= 26.4s | Valid: time=  6.2s loss=0.063, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 26.7s | Valid: time=  6.4s loss=0.061, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 27.0s | Valid: time=  6.4s loss=0.065, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 26.6s | Valid: time=  6.6s loss=0.071, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 26.3s | Valid: time=  6.5s loss=0.061, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 26.7s | Valid: time=  6.3s loss=0.067, TAw acc=  0.0% |
